ID Item
1 Наименование_Ду_25
2 Наименование_Ду_16
2 Разрушение_Сквозная_коррозия
3 Наименование_Ду_24
4 Наименование_Ду_24
5 Наименование_Ду_24
6 Наименование_Ду_25
6 Разрушение_Хрупкое
7 Наименование_Ду_24
9 Наименование_Ду*Ду=24*24
10 Наименование_Ду_22
10 Разрушение_Хрупкое
11 Наименование_Ду_6
12 Наименование
13 Наименование_Ду_6
13 Разрушение_Хрупкое
14 Наименование_Ду_6
14 Разрушение_Хрупкое
15 Наименование_Ду_6
16 Наименование_Ду*Ду=32*6
17 Наименование_Ду_16
17 Разрушение_Сквозная_коррозия
18 Наименование_Ду_15
18 Разрушение_Сквозная_коррозия
19 Наименование_Ду_16
19 Разрушение_Сквозная_коррозия
20 Наименование_Ду_16
20 Разрушение_Сквозная_коррозия
21 Наименование_180_Ду_60
22 Наименование_180_Ду_60
23 Наименование_180_Ду_60
25 Наименование_Ду_22
27 Наименование_Ду_22
28 Наименование_Ду_40
28 Разрушение_Хрупкое
29 Наименование
30 Наименование_Ду*Ду=24*10
30 Разрушение_Хрупкое
31 Наименование_Ду*Ду=24*10
32 Наименование_Ду*Ду=24*10
33 Наименование_Ду*Ду=24*10
34 Наименование_Ду_25
35 Наименование_Ду*Ду=24*10
37 Наименование_Ду_3
37 Разрушение_Хрупкое
38 Наименование_Ду_16
38 Разрушение_Сквозная_коррозия
39 Наименование_180_Ду_25
39 Разрушение_Хрупкое
40 Наименование_Ду*Ду=34*16
41 Наименование_Ду_25
41 Разрушение_Хрупкое
42 Наименование_Ду_34
43 Наименование_Ду_25
44 Наименование_180_Ду_60
466 Наименование_Ду_24
468 Наименование_Ду_24
471 Наименование_180_Ду_60
471 Разрушение_Хрупкое
474 Наименование_Ду_22
474 Разрушение_Хрупкое
475 Наименование_Ду_22
476 Наименование_Ду_22
478 Наименование_Ду_15
479 Наименование_Ду_3
479 Разрушение_Хрупкое
481 Наименование_Ду_6
481 Разрушение_Хрупкое
482 Наименование_Ду_32
482 Разрушение_Хрупкое
483 Наименование_90_Ду_60
483 Разрушение_Хрупкое
484 Наименование_90_Ду_60
484 Разрушение_Хрупкое
485 Наименование_Ду_25
485 Разрушение_Хрупкое
486 Наименование_Ду_25
486 Разрушение_Хрупкое
488 Наименование_90_Ду_60
490 Наименование_Ду_24
490 Разрушение_Хрупкое
491 Наименование_Ду_40
491 Разрушение_Хрупкое
493 Наименование_180_Ду_60
493 Разрушение_Хрупкое
494 Наименование_Ду_25
494 Разрушение_Хрупкое
495 Наименование_Ду_3
