DATA;Row Heading ;Column Heading
Intel Celeron N4120, 4x1.1 รร๖;PCName|DEXP Atlas H337;processor brand|intel
AMD A8 9600, 4x3.1 รร๖;PCName|DEXP Aquilon O238;processor brand|amd
AMD Athlon 3000G, 2x3.5 รร๖;PCName|DEXP Aquilon O277;processor brand|amd
Intel Pentium Silver N6000, 4x1.1 รร๖;PCName|MSI Cubi N JSL-068XRU;processor brand|intel
Intel Core i3-10105, 4x3.7 รร๖;PCName|DEXP Atlas H333;processor brand|intel
AMD A8 9600, 4x3.1 รร๖;PCName|DEXP Aquilon O266;processor brand|amd
Intel Core i5-10400, 6x2.9 รร๖;PCName|Raskat Standart 500;processor brand|intel
Intel Pentium Gold G6505, 2x4.2 รร๖;PCName|ASUS ExpertCenter D5 SFF D500SC;processor brand|intel
Intel Core i3-10105F, 4x3.7 รร๖;PCName|ZET Gaming NEO M035;processor brand|intel
Intel Core i5-11400F, 6x2.6 รร๖;PCName|ZET Gaming NEO M032;processor brand|intel
