DATA;Row Heading ;Column Heading
49 998;TV name|Hisense 65A6BG;Cost|Spot
10 295;TV name|Kivi 24H500LB 2021;Cost|Spot
190 000;TV name|LG OLED65B1RLA 2021;Cost|Cashless
17930;TV name|Schaub Lorenz SLT32S5550 LED;Cost|Spot
11 660;TV name|AIWA 32FLE9600;Cost|Spot
13500;TV name|Philips 32PHS5505 LED;Cost|Cashless
16800;TV name|Philips 32PHS6825 LED;Cost|Spot
11 499;TV name|Yuno ULX-39TCS222;Cost|Cashless
41 773;TV name|LG 43NANO756PA 2021 NanoCell;Cost|Cashless
61 805;TV name|Kivi 65U740LB 2021 LED;Cost|Spot
55 900;TV name|Sony KD-55XG7096 LED;Cost|Spot
