DATA;Row Heading ;Column Heading
15;TV name|Hisense 65A6BG;Diagonal|inches
16;TV name|Kivi 24H500LB 2021;Diagonal|inches
17;TV name|LG OLED65B1RLA 2021;Diagonal|inches
45,72;TV name|Schaub Lorenz SLT32S5550 LED;Diagonal|centimeters
46,99;TV name|AIWA 32FLE9600;Diagonal|centimeters
19;TV name|Philips 32PHS5505 LED;Diagonal|inches
19,5;TV name|Philips 32PHS6825 LED;Diagonal|inches
20;TV name|Yuno ULX-39TCS222;Diagonal|inches
53,34;TV name|LG 43NANO756PA 2021 NanoCell;Diagonal|centimeters
54,61;TV name|Kivi 65U740LB 2021 LED;Diagonal|centimeters
22;TV name|Sony KD-55XG7096 LED;Diagonal|inches
