DATA;Row Heading ;Column Heading
33,2;TV name|Hisense 65A6BG;Width|centimeters
13,94;TV name|Kivi 24H500LB 2021;Width|inches
14,8;TV name|LG OLED65B1RLA 2021;Width|inches
39,8;TV name|Schaub Lorenz SLT32S5550 LED;Width|centimeters
41;TV name|AIWA 32FLE9600;Width|centimeters
16,57;TV name|Philips 32PHS5505 LED;Width|inches
17,01;TV name|Philips 32PHS6825 LED;Width|inches
17,44;TV name|Yuno ULX-39TCS222;Width|inches
46,5;TV name|LG 43NANO756PA 2021 NanoCell;Width|centimeters
47,6;TV name|Kivi 65U740LB 2021 LED;Width|centimeters
48,7;TV name|Sony KD-55XG7096 LED;Width|centimeters
