DATA;Row Heading ;Column Heading
1,57;TV name|Hisense 65A6BG;thickness|inches
1,57;TV name|Kivi 24H500LB 2021;thickness|inches
5;TV name|LG OLED65B1RLA 2021;thickness|centimeters
3;TV name|Schaub Lorenz SLT32S5550 LED;thickness|centimeters
1,18;TV name|AIWA 32FLE9600;thickness|inches
1,18;TV name|Philips 32PHS5505 LED;thickness|inches
5;TV name|Philips 32PHS6825 LED;thickness|centimeters
5;TV name|Yuno ULX-39TCS222;thickness|centimeters
2,36;TV name|LG 43NANO756PA 2021 NanoCell;thickness|inches
1,18;TV name|Kivi 65U740LB 2021 LED;thickness|inches
1,97;TV name|Sony KD-55XG7096 LED;thickness|inches
