DATA;Row Heading ;Column Heading
Да;Название|Боровик (белый гриб);Вид|Съедобный
Нет;Название|Боровик (белый гриб);Вид|Несъедобный
no;Название|;Вид|
yes;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
no;Название|;Вид|
no;Название|;Вид|
yes;Название|;Вид|
