DATA;Row Heading ;Особенности жизнедеятельности|Паразиты водорослей
Да;Название|Ольпидиум;Особенности жизнедеятельности|Разлагают органику
Нет;Название|Ольпидиум;Особенности жизнедеятельности|Паразиты водорослей
Нет;Название|Дрожжи;Особенности жизнедеятельности|Разлагают органику
Да;Название|Дрожжи;Особенности жизнедеятельности|Паразиты водорослей
Нет;Название|Шляпочные;Особенности жизнедеятельности|Разлагают органику
Да;Название|Шляпочные;Особенности жизнедеятельности|Паразиты водорослей
Нет;Название|Сморчки;Особенности жизнедеятельности|Разлагают органику
Да;Название|Сморчки;Особенности жизнедеятельности|Паразиты водорослей
Нет;Название|Строчки;Особенности жизнедеятельности|Разлагают органику
Да;Название|Строчки;Особенности жизнедеятельности|Паразиты водорослей
Нет;Название|Трутовики;Особенности жизнедеятельности|Разлагают органику
Да;Название|Трутовики;Особенности жизнедеятельности|Паразиты водорослей
