DATA;Row Heading ;Column Heading
Да;Название блюда|Омлет с кабачком в банке;Время готовки|Быстро
Нет;Название блюда|Омлет с кабачком в банке;Время готовки|Долго
Нет;Название блюда|Котлеты из индейки с овощами (на пару);Время готовки|Быстро
Да;Название блюда|Котлеты из индейки с овощами (на пару);Время готовки|Долго
Нет;Название блюда|Паста с тунцом и оливками в томатном соусе;Время готовки|Быстро
Да;Название блюда|Паста с тунцом и оливками в томатном соусе;Время готовки|Долго
Да;Название блюда|Сосиски с болгарским перцем в соево-томатном соусе;Время готовки|Быстро
Нет;Название блюда|Сосиски с болгарским перцем в соево-томатном соусе;Время готовки|Долго
Нет;Название блюда|Быстрый пирог к завтраку;Время готовки|Быстро
Да;Название блюда|Быстрый пирог к завтраку;Время готовки|Долго
Нет;Название блюда|Рассольник с копчёностями и перловкой;Время готовки|Быстро
Да;Название блюда|Рассольник с копчёностями и перловкой;Время готовки|Долго
Да;Название блюда|Коддл;Время готовки|Быстро
Нет;Название блюда|Коддл;Время готовки|Долго
Нет;Название блюда|Суп с мясом, грибами и солеными огурцами;Время готовки|Быстро
Да;Название блюда|Суп с мясом, грибами и солеными огурцами;Время готовки|Долго
