DATA;Row Heading;Column Heading
Сахар;Номер продукта питания | 232;Продукт питания | Название продукта
0;Номер продукта питания | 232;Характеристики | Белки на 100г
Масло;Номер продукта питания | 254;Продукт питания | Название продукта
0;Номер продукта питания | 254;Характеристики | Белки на 100г
Колбаса;Номер продукта питания | 22;Продукт питания | Название продукта
14,8;Номер продукта питания | 22;Характеристики | Белки на 100г
Хлеб;Номер продукта питания | 432;Продукт питания | Название продукта
5,7;Номер продукта питания | 432;Характеристики | Белки на 100г
Молоко;Номер продукта питания | 332;Продукт питания | Название продукта
3;Номер продукта питания | 332;Характеристики | Белки на 100г
Макароны;Номер продукта питания | 142;Продукт питания | Название продукта
11;Номер продукта питания | 142;Характеристики | Белки на 100г
Гречка;Номер продукта питания | 156;Продукт питания | Название продукта
12;Номер продукта питания | 156;Характеристики | Белки на 100г
Рис;Номер продукта питания | 189;Продукт питания | Название продукта
7,5;Номер продукта питания | 189;Характеристики | Белки на 100г
