DATA;Row Heading;Column Heading
Сахар;Номер продукта питания | 232;Продукт питания | Название продукта
0;Номер продукта питания | 232;Характеристики | Жиры на 100г
Масло;Номер продукта питания | 254;Продукт питания | Название продукта
99,9;Номер продукта питания | 254;Характеристики | Жиры на 100г
Колбаса;Номер продукта питания | 22;Продукт питания | Название продукта
38,1;Номер продукта питания | 22;Характеристики | Жиры на 100г
Хлеб;Номер продукта питания | 432;Продукт питания | Название продукта
1,5;Номер продукта питания | 432;Характеристики | Жиры на 100г
Молоко;Номер продукта питания | 332;Продукт питания | Название продукта
2;Номер продукта питания | 332;Характеристики | Жиры на 100г
Макароны;Номер продукта питания | 142;Продукт питания | Название продукта
1,3;Номер продукта питания | 142;Характеристики | Жиры на 100г
Гречка;Номер продукта питания | 156;Продукт питания | Название продукта
2;Номер продукта питания | 156;Характеристики | Жиры на 100г
Рис;Номер продукта питания | 189;Продукт питания | Название продукта
2,6;Номер продукта питания | 189;Характеристики | Жиры на 100г
