DATA;Row Heading;Column Heading
Сахар;Номер продукта питания | 232;Продукт питания | Название продукта
399;Номер продукта питания | 232;Характеристики | Калорийность
Масло;Номер продукта питания | 254;Продукт питания | Название продукта
899;Номер продукта питания | 254;Характеристики | Калорийность
Колбаса;Номер продукта питания | 22;Продукт питания | Название продукта
402;Номер продукта питания | 22;Характеристики | Калорийность
Хлеб;Номер продукта питания | 432;Продукт питания | Название продукта
251;Номер продукта питания | 432;Характеристики | Калорийность
Молоко;Номер продукта питания | 332;Продукт питания | Название продукта
49;Номер продукта питания | 332;Характеристики | Калорийность
Макароны;Номер продукта питания | 142;Продукт питания | Название продукта
338;Номер продукта питания | 142;Характеристики | Калорийность
Гречка;Номер продукта питания | 156;Продукт питания | Название продукта
346;Номер продукта питания | 156;Характеристики | Калорийность
Рис;Номер продукта питания | 189;Продукт питания | Название продукта
303;Номер продукта питания | 189;Характеристики | Калорийность
