DATA;Row Heading;Column Heading
Сахар;Номер продукта питания | 232;Продукт питания | Название продукта
Килограмм;Номер продукта питания | 232;Характеристики | Единица измерения
Масло;Номер продукта питания | 254;Продукт питания | Название продукта
Литр;Номер продукта питания | 254;Характеристики | Единица измерения
Колбаса;Номер продукта питания | 22;Продукт питания | Название продукта
Килограмм;Номер продукта питания | 22;Характеристики | Единица измерения
Хлеб;Номер продукта питания | 432;Продукт питания | Название продукта
Буханка;Номер продукта питания | 432;Характеристики | Единица измерения
Молоко;Номер продукта питания | 332;Продукт питания | Название продукта
Литр;Номер продукта питания | 332;Характеристики | Единица измерения
Макароны;Номер продукта питания | 142;Продукт питания | Название продукта
Килограмм;Номер продукта питания | 142;Характеристики | Единица измерения
Гречка;Номер продукта питания | 156;Продукт питания | Название продукта
Килограмм;Номер продукта питания | 156;Характеристики | Единица измерения
Рис;Номер продукта питания | 189;Продукт питания | Название продукта
Килограмм;Номер продукта питания | 189;Характеристики | Единица измерения
