DATA;Row Heading;Column Heading
Сахар;Номер продукта питания | 232;Продукт питания | Название продукта
50;Номер продукта питания | 232;Характеристики | Стоимость за единицу измерения
Масло;Номер продукта питания | 254;Продукт питания | Название продукта
70;Номер продукта питания | 254;Характеристики | Стоимость за единицу измерения
Колбаса;Номер продукта питания | 22;Продукт питания | Название продукта
500;Номер продукта питания | 22;Характеристики | Стоимость за единицу измерения
Хлеб;Номер продукта питания | 432;Продукт питания | Название продукта
40;Номер продукта питания | 432;Характеристики | Стоимость за единицу измерения
Молоко;Номер продукта питания | 332;Продукт питания | Название продукта
65;Номер продукта питания | 332;Характеристики | Стоимость за единицу измерения
Макароны;Номер продукта питания | 142;Продукт питания | Название продукта
75;Номер продукта питания | 142;Характеристики | Стоимость за единицу измерения
Гречка;Номер продукта питания | 156;Продукт питания | Название продукта
25;Номер продукта питания | 156;Характеристики | Стоимость за единицу измерения
Рис;Номер продукта питания | 189;Продукт питания | Название продукта
30;Номер продукта питания | 189;Характеристики | Стоимость за единицу измерения
